G1,G2,K,Algo,FROB,FROB1,FROB2,FROB3,FROB4,FROB5,HR,HR1,HR2,HR3,HR4,HR5,TIME,CRP,CRP1,CRP2,CRP3,CRP4,CRP5,trial,local_g1,local_g2,local_g1_1,local_g2_1,local_g1_2,local_g2_2,local_g1_3,local_g2_3,local_g1_4,local_g2_4,local_g1_5,local_g2_5,initialization,p_more,p_remove_g1,p_remove_g2
football,malaria,69,Alpine,14.696938456699069,0,0,0,0,0,114,0,0,0,0,0,15.46966552734375,5,0,0,0,0,0,0,22,42,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.0,0.0
football,malaria,69,Alpine++,19.44222209522358,0,0,0,0,0,-1,0,0,0,0,0,41.08942413330078,11,0,0,0,0,0,0,36,40,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.0,0.0
football,malaria,69,Martian,19.026297590440446,0,0,0,0,0,114,0,0,0,0,0,53.74264693260193,2,0,0,0,0,0,0,29,43,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.0,0.0
football,malaria,69,Alpine,6.6332495807108,0,0,0,0,0,114,0,0,0,0,0,11.895033121109009,58,0,0,0,0,0,0,58,58,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.1,0.1
football,malaria,69,Alpine++,7.615773105863909,0,0,0,0,0,114,0,0,0,0,0,43.024338722229004,54,0,0,0,0,0,0,54,55,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.1,0.1
football,malaria,69,Martian,15.033296378372908,0,0,0,0,0,114,0,0,0,0,0,66.09004092216492,1,0,0,0,0,0,0,25,37,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.1,0.1
football,malaria,69,Alpine,4.898979485566356,0,0,0,0,0,114,0,0,0,0,0,14.704633712768555,63,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.3,0.3
football,malaria,69,Alpine++,6.164414002968976,0,0,0,0,0,114,0,0,0,0,0,59.18931317329407,59,0,0,0,0,0,0,59,59,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.3,0.3
football,malaria,69,Martian,2.0,0,0,0,0,0,114,0,0,0,0,0,75.49329233169556,68,0,0,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.3,0.3
football,malaria,69,Alpine,5.0990195135927845,0,0,0,0,0,114,0,0,0,0,0,17.158766269683838,62,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.5,0.5
